index,time_s,q0,q1,q2,q3,q4,q5,force_N,target_contact_count,force_error_N,scheduled_xy_error_m,reference_xy_error_m,scheduled_orientation_error_rad,force_normal_orientation_error_rad
545,1.09,-8.522163423888936e-10,-0.10060787248633582,0.14728711664536986,-0.04678268538649207,2.7443875123658418e-11,0.007524657122220695,5.00036947970562,1,0.0003694797056201793,2.2050122022946545e-10,0.0002185507595271648,3.209328690289225e-09,0.1671117093393566
546,1.092,-8.53780331363205e-10,-0.10060854978006009,0.1472815887963336,-0.04677681996152345,2.7492711043839624e-11,0.00753861375575169,5.000388130431121,1,0.0003881304311210698,2.2970299071269166e-10,0.00021895177889229292,3.209377121262316e-09,0.16709809242361837
547,1.094,-8.553443203375164e-10,-0.10060922707378438,0.14727606094729734,-0.04677095453655483,2.754154696402084e-11,0.007552570389282686,5.000405579982499,1,0.00040557998249912686,2.3831698493185947e-10,0.00021935279766964295,3.2094256317717898e-09,0.16708447550787858
548,1.096,-8.569083093118279e-10,-0.10060990436750866,0.14727053309826105,-0.0467650891115862,2.7590382884202052e-11,0.0075665270228136815,5.000421828370377,1,0.0004218283703769643,2.463429364641691e-10,0.00021975381585895122,3.20947414289022e-09,0.16707085859214074
549,1.098,-8.584722982861394e-10,-0.10061058166123295,0.14726500524922478,-0.04675922368661758,2.7639218804383268e-11,0.007580483656344677,5.0004368755443735,1,0.0004368755443735495,2.537805537633861e-10,0.00022015483345992368,3.209522605179186e-09,0.16705724167640099
550,1.1,-8.600362872604508e-10,-0.10061125895495723,0.1472594774001885,-0.04675335826164896,2.7688054724564474e-11,0.007594440289875672,5.000450721505022,1,0.0004507215050217894,2.6062948285614466e-10,0.00022055585047220733,3.2095711062371917e-09,0.16704362476066148
551,1.102,-8.616002762347624e-10,-0.10061193624868152,0.14725394955115223,-0.04674749283668034,2.773689064474569e-11,0.007608396923406669,5.000463366224552,1,0.0004633662245518977,2.66889426165267e-10,0.00022095686689550464,3.20961959922778e-09,0.167030007844923
552,1.104,-8.631642652090738e-10,-0.1006126135424058,0.14724842170211594,-0.046741627411711714,2.7785726564926906e-11,0.0076223535569376645,5.000474809708123,1,0.0004748097081233027,2.7256007745390197e-10,0.00022135788272950946,3.2096680928231216e-09,0.16701639092918372
553,1.106,-8.647282541833853e-10,-0.10061329083613009,0.14724289385307968,-0.04673576198674309,2.783456248510812e-11,0.007636310190468662,5.000485051909272,1,0.0004850519092718386,2.7764109840396997e-10,0.00022175889797388263,3.209716610439853e-09,0.16700277401344446
554,1.108,-8.662922431576968e-10,-0.10061396812985438,0.1472373660040434,-0.04672989656177447,2.788339840528933e-11,0.007650266823999656,5.0004940928332,1,0.0004940928331995664,2.8213222009533324e-10,0.00022215991262835788,3.2097650792218966e-09,0.16698915709770598
555,1.11,-8.678562321320083e-10,-0.10061464542357865,0.14723183815500712,-0.046724031136805844,2.7932234325470547e-11,0.0076642234575306535,5.000501932466686,1,0.0005019324666859504,2.860331111653038e-10,0.00022256092669260127,3.2098135477382305e-09,0.1669755401819665
556,1.112,-8.694202211063197e-10,-0.10061532271730295,0.14722631030597086,-0.04671816571183723,2.7981070245651756e-11,0.0076781800910616475,5.0005085707637456,1,0.0005085707637455528,2.8934340469564223e-10,0.00022296194016624592,3.2098620810369024e-09,0.16696192326622744
557,1.114,-8.709842100806313e-10,-0.10061600001102722,0.1472207824569346,-0.0467123002868686,2.8029906165832972e-11,0.007692136724592643,5.000514007745283,1,0.0005140077452834291,2.9206289163322296e-10,0.00022336295304908538,3.2099105238663406e-09,0.16694830635048896
558,1.116,-8.725481990549425e-10,-0.10061667730475152,0.1472152546078983,-0.04670643486189998,2.807874208601418e-11,0.007706093358123639,5.000518243366764,1,0.0005182433667636488,2.9419114695663833e-10,0.00022376396534069118,3.209959047955108e-09,0.16693468943474923
559,1.118,-8.741121880292541e-10,-0.10061735459847579,0.14720972675886201,-0.046700569436931356,2.8127578006195397e-11,0.007720049991654635,5.000521277617264,1,0.0005212776172642819,2.9572790784522895e-10,0.00022416497704080398,3.210007568304669e-09,0.16692107251900973
560,1.12,-8.756761770035655e-10,-0.10061803189220007,0.14720419890982578,-0.04669470401196273,2.8176413926376606e-11,0.0077340066251856306,5.000523110486025,1,0.0005231104860250468,2.966729244925943e-10,0.0002245659881491705,3.210056002518502e-09,0.16690745560327058
561,1.122,-8.77240165977877e-10,-0.10061870918592436,0.1471986710607895,-0.046688838586994116,2.8225249846557822e-11,0.007747963258716626,5.0005237419547806,1,0.0005237419547805544,2.9702575887854806e-10,0.00022496699866535535,3.210104523192412e-09,0.16689383868753263
562,1.124,-8.788041549521884e-10,-0.10061938647964866,0.1471931432117532,-0.04668297316202549,2.827408576673903e-11,0.00776191989224762,5.000523172015551,1,0.0005231720155514097,2.9678616554062844e-10,0.00022536800858911218,3.210153034052733e-09,0.16688022177179332
563,1.1260000000000001,-8.803681439264999e-10,-0.10062006377337293,0.14718761536271693,-0.04667710773705687,2.8322921686920247e-11,0.007775876525778618,5.000521400642252,1,0.0005214006422518125,2.9595384090667995e-10,0.00022576901792013742,3.210201528159862e-09,0.1668666048560535
564,1.1280000000000001,-8.819321329008114e-10,-0.10062074106709723,0.14718208751368067,-0.046671242312088246,2.8371757607101457e-11,0.007789833159309612,5.000518427808533,1,0.0005184278085330618,2.945284675303873e-10,0.0002261700266581136,3.2102499977068777e-09,0.1668529879403153
565,1.1300000000000001,-8.834961218751228e-10,-0.1006214183608215,0.14717655966464438,-0.04666537688711962,2.8420593527282673e-11,0.0078037897928406085,5.00051425351351,1,0.0005142535135096438,2.9250970021371386e-10,0.00022657103480269554,3.2102985051397962e-09,0.1668393710245762
566,1.1320000000000001,-8.850601108494342e-10,-0.10062209565454579,0.14717103181560812,-0.046659511462151,2.8469429447463882e-11,0.007817746426371603,5.000508877744763,1,0.0005088777447630477,2.8989724060031497e-10,0.00022697204235358484,3.2103470122954753e-09,0.16682575410883702
